STREET,QUADRANT,FROMINTERSECTION,TOINTERSECTION,NOOFBLOCKS,WORKDESCRIPTION,YEARBUDGETED,PERCENTCOMPLETED,STATUS,MILES,WARD,FUNCTIONALCLASS,ESTIMATEDSTARTDATE,ESTIMATEDCOMPLETIONDATE,ACTUALCOMPLETIONDATE,REMARKS,XCOORD,YCOORD,LATITUDE,LONGITUDE,PROJECTNOTE,PROJECTNAME,PROJECTMGR,PROJECTID,TEAMREP,EMAIL,CONTACTPHONE
Indiana Ave,NW,6th St,7th St,1,Pavement Resurface/restoration,2004,100,Completed,0.13,6,COLLECTOR,3/31/2004 12:00:00 AM,7/11/2005 12:00:00 AM,7/11/2005 12:00:00 AM,2 Year SP 2000 - 2002,398186.3799,136255.445050,38.89414432073760,-77.02090604630660,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,2782,Said Cherifi,said.cherifi@dc.gov,202-671-4611
Fort Davis St,SE,Pennsylvania Ave,W St,2,Pavement Resurface/restoration,2005,100,Completed,0.13,7,LOCAL,,,7/12/2005 12:00:00 AM,,404305.827270,132922.440060,38.86411063748540,-76.95038655153730,,,,8725,,,
W St,SE,38th St,Fort Davis St,1,Pavement Resurface/restoration,2005,100,Completed,0.10,7,LOCAL,,,7/12/2005 12:00:00 AM,INFORMATION PROVIDED BY SYLVESTER (TEAM 4),404222.6289,132804.9415,38.86305256519310,-76.95134591751970,,CITYWIDE PAVEMENT RESTORATION CONTRACT (LOCAL STREETS),,8741,,,
Minnesota Ave,SE,Randle Cir (N),D St,5,Pavement Resurface/restoration,2004,100,Completed,0.46,7,MINOR ARTERIAL,3/31/2004 12:00:00 AM,,7/13/2005 12:00:00 AM,Duplicated project  (ENTERED BY JASWANT REQUESTED BY MEQUANINT,403553.2969,134848.158710,38.88146164451570,-76.959047549406,FY-04 per Sylvester,FedAid_6YR_CIP,ZAHRA DORRIZ,4809,,,
F St,NW,4th St,6th St,2,Pavement Resurface/restoration,2004,100,Completed,0.21,6,COLLECTOR,4/4/2005 12:00:00 AM,7/12/2005 12:00:00 AM,7/13/2005 12:00:00 AM,,398434.970520,136609.330110,38.89733272427260,-77.01804128717740,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,3527,Said Cherifi,said.cherifi@dc.gov,202-671-4611
Mississippi Ave,SE,Wheeler Rd,Wheeler Rd,0,Traffic Signal Work,2004,100,Completed,0,8,COLLECTOR,,,7/13/2005 12:00:00 AM,,400558.88,130112.170010,38.83880486963380,-76.99356264590020,,,,8643,,,
Minnesota Ave,SE,Pennsylvania Ave (E),Randle Cir (S),13,Pavement Resurface/restoration,2005,100,Completed,0.55,7,MINOR ARTERIAL,,,7/13/2005 12:00:00 AM,AS REQUESTED BY MEQUNANINT,402920.267740,134203.030910,38.87565241085080,-76.96634607615970,,,ZAHARA DORRIZ,9037,ALI SHAKERI,,202-671-4612
Clay Pl,NE,Minnesota Ave (N),40th St,1,Regular Cover,2004,100,Completed,0.19,7,LOCAL,3/31/2004 12:00:00 AM,,7/13/2005 12:00:00 AM,,404433.267390,136093.567740,38.89267676293820,-76.94889768213460,,CIP_2004-2009,,4032,,,
14th St,NE,Rhode Island Ave,Jackson St,5,Pavement Resurface/restoration,2004,100,Completed,0.31,5,COLLECTOR,3/31/2004 12:00:00 AM,,7/13/2005 12:00:00 AM,2 Year SP 2000 - 2002,401224.380960,139868.476450,38.92669275876230,-76.98587981647630,,FedAid_6YR_CIP,Said Cheriffi,3057,Abdullahi Mohamed,Abdullahi.Mohamed@dc.gov,202 671 4614
4th St,NW,G St,H St,1,Pavement Resurface/restoration,2004,100,Completed,0.10,6,COLLECTOR,4/4/2005 12:00:00 AM,7/13/2005 12:00:00 AM,7/13/2005 12:00:00 AM,,398595.924960,136801.001790,38.89905964381790,-77.01618623453230,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,5543,Said Cherifi,said.cherifi@dc.gov,202-671-4611
G St,SW,7th St,9th St,1,Pavement Resurface/restoration,2004,100,Completed,0.12,6,LOCAL,,,7/14/2005 12:00:00 AM,Completed but never reported; determined through RoadCare,398003.687580,134827.0303,38.88127622516380,-77.02300783574490,,,,5683,,,
49th Pl,NE,Meade St,Nash St,1,Pavement Resurface/restoration,2004,100,Completed,0.09,7,LOCAL,4/4/2005 12:00:00 AM,,7/14/2005 12:00:00 AM,need a start and finish date.,406014.020130,137644.24,38.90663637875710,-76.930662758985,,,,4025,,,
Girard Pl,NE,Belair Pl,25th St,1,Pavement Resurface/restoration,2004,100,Completed,0.05,5,LOCAL,4/4/2005 12:00:00 AM,,7/15/2005 12:00:00 AM,On Hold for WASA,402469.311490,139888.125380,38.92686714595210,-76.97152257487550,,,,5560,,,
2nd St,NW,H St,New Jersey Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.13,6,COLLECTOR,4/4/2005 12:00:00 AM,7/15/2005 12:00:00 AM,7/17/2005 12:00:00 AM,,398814.498940,137030.782680,38.90112991433010,-77.01366690135860,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,5541,Said Cherifi,said.cherifi@dc.gov,202-671-4611
Upton St,NW,37th St,38th St,1,Pavement Resurface/restoration,2004,100,Completed,0.12,3,LOCAL,4/4/2005 12:00:00 AM,,7/18/2005 12:00:00 AM,,393627.404980,141594.217950,38.94221649847620,-77.07350801509280,N/A,Citywide Pavement Restoration,Paul Stephenson,5044,Madibo Hytton,N/A,202-671-4591
Upton St,NW,38th St,Wisconsin Ave,1,Pavement Resurface/restoration,2005,100,Completed,0.11,3,LOCAL,5/1/2005 12:00:00 AM,7/18/2005 12:00:00 AM,7/18/2005 12:00:00 AM,Temporary Street,393449.880310,141594.681760,38.94221937095820,-77.07555576933110,N/A,Citywide Pavement Restoration,Paul Stephenson,3482,Modibo Hytton,N/A,202-6714591
Independence Ave,SE,North Carolina Ave,Massachusetts Ave,8,Federal Aid Resurfacing,2004,100,Completed,0.59,6,MINOR ARTERIAL,7/21/2005 12:00:00 AM,,7/21/2005 12:00:00 AM,,400848.064670,135527.876250,38.88759157128990,-76.990225047246,,Street Resurfacing,Abdullahi Mohamed,4822,Morgan Prince,morgan.prince@dc.gov,202-671-4627
34th St,NW,Fessenden St,Garrison St,1,Pavement Resurface/restoration,2004,100,Completed,0.06,3,LOCAL,4/4/2005 12:00:00 AM,7/22/2005 12:00:00 AM,7/22/2005 12:00:00 AM,,394148.929780,143023.775430,38.95509797247360,-77.06750441176410,N/A,Citywide Pavement Restoration,Paul Stephenson,5587,Rodney Olive,N/A,202-671-4591
Blaine St,NE,45th St,46th St,1,Pavement Resurface/restoration,2004,100,Completed,0.06,7,LOCAL,3/31/2004 12:00:00 AM,,7/22/2005 12:00:00 AM,,405441.330050,136006.776410,38.89188925323840,-76.93727842439090,2nd Aid to State,CIP_2004-2009,,4031,,,
Delaware Ave,SW,H St,M St,4,Pavement Resurface/restoration,2004,100,Completed,0.27,6,LOCAL,,,7/25/2005 12:00:00 AM,,398848.142880,134504.884410,38.87837572099570,-77.01327480694990,,,,5886,,,
Kalmia Rd,NW,16th St,Myrtle St,1,Pavement Resurface/restoration,2004,100,Completed,0.15,4,COLLECTOR,4/4/2005 12:00:00 AM,7/26/2005 12:00:00 AM,7/26/2005 12:00:00 AM,,396735.641690,146442.514250,38.98590820400330,-77.03767752851320,N/A,Citywide Pavement Restoration,Paul Stephenson,5293,M. Howard & O. Hill,N/A,202-671-4591
D St,SE,Ridge Rd,Burns St,1,Pavement Resurface/restoration,2004,100,Completed,0.16,7,LOCAL,4/4/2005 12:00:00 AM,,7/26/2005 12:00:00 AM,,404623.339170,135229.942240,38.88489592167220,-76.94671253430190,,,,5635,,,
5th St,NW,Roxboro Pl,Van Buren St,5,Pavement Resurface/restoration,2004,100,Completed,0.30,4,COLLECTOR,3/31/2004 12:00:00 AM,7/27/2005 12:00:00 AM,7/27/2005 12:00:00 AM,,398275.657820,144424.279940,38.96773186800710,-77.01989744196130,N/A,Citywide Pavement Restoration,Paul Stephenson,4757,M. Howard & O. Hill,N/A,202-671-4591
Dexter Ter,NW,Dexter St (E),Dexter St (W),1,Regular Cover,2004,100,Completed,0.13,3,LOCAL,3/31/2004 12:00:00 AM,7/28/2005 12:00:00 AM,7/28/2005 12:00:00 AM,2 Year CIP 2001 - 2003,391981.057720,139697.475330,38.92511659107460,-77.09247648937730,N/A,Citywide Pavement Restoration,Paul Stephenson,2476,Rodney Olive,N/A,202-6714591
Aspen St,NW,Laurel St,5th St,5,Pavement Resurface/restoration,2004,100,Completed,0.32,4,COLLECTOR,4/4/2005 12:00:00 AM,7/28/2005 12:00:00 AM,7/28/2005 12:00:00 AM,,398522.0278,144936.316320,38.97234486305260,-77.01705564592840,WASA FY-06 LSR,Citywide Pavement Restoration,Paul Stephenson,3161,M. Howard & O. Hill,N/A,202-671-4591
Brandywine St,NW,Broad Branch Rd,28th St,1,Pavement Resurface/restoration,2004,100,Completed,0.16,3,COLLECTOR,4/4/2005 12:00:00 AM,7/29/2005 12:00:00 AM,7/29/2005 12:00:00 AM,,395276.891610,142485.176930,38.95025292223690,-77.05448729223720,N/A,Citywide Pavement Restoration,Paul Stephenson,5252,M. Howard & C. Daniel,N/A,202-671-4591
Brandywine St,NW,Linnean Ave,30th St,2,Pavement Resurface/restoration,2004,100,Completed,0.25,3,COLLECTOR,3/31/2004 12:00:00 AM,7/29/2005 12:00:00 AM,7/29/2005 12:00:00 AM,,394848.365110,142421.720550,38.94967888126420,-77.05943043337420,N/A,Citywide Pavement Restoration,Paul Stephenson,3523,M. Howard,N/A,202-671-4591
4th St,NW,Aspen St,Blair Rd,2,Pavement Resurface/restoration,2004,100,Completed,0.15,4,COLLECTOR,3/31/2004 12:00:00 AM,7/29/2005 12:00:00 AM,7/29/2005 12:00:00 AM,2 Year SP 2000 - 2002,398437.435710,145055.232420,38.97341594059220,-77.01803210091510,N/A,FedAid_6YR_CIP,Paul Stephenson,2769,O. Hill,N/A,202-671-4591
Suitland Ter,SE,Southern Ave (E),Southern Ave (W),1,Pavement Resurface/restoration,2004,100,Completed,0.19,7,LOCAL,3/31/2004 12:00:00 AM,,7/29/2005 12:00:00 AM,,404401.894210,132787.351930,38.86289323208620,-76.94928049520920,,,,4179,,,
Atlantic St,SE,1st St,Livingston Rd,1,Bridge Construction,2002,100,Completed,0.13,8,COLLECTOR,7/22/2002 12:00:00 AM,9/30/2003 12:00:00 AM,7/30/2005 12:00:00 AM,Construction Project Completed.,399590.811610,129254.679570,38.83108028571880,-77.00471264958630,,Atlantic Street Bridge Over Oxon Run ,Ron Rohadfor,4986,,,202-671-4463
14th St,NW,Fort Stevens Dr,Somerset Pl,3,Pavement Resurface/restoration,2004,100,Completed,0.20,4,MINOR ARTERIAL,4/4/2005 12:00:00 AM,7/30/2005 12:00:00 AM,7/30/2005 12:00:00 AM,,397103.798360,144169.389350,38.965432668553,-77.03341862562110,WASA FY-06 LSR,Citywide Pavement Reatoration,Paul Stephenson,5280,M. Howard,N/A,202-671-4591
4th St,SE,Wayne Pl,Valley Ave,1,Bridge Construction,2002,100,Completed,0.16,8,COLLECTOR,7/22/2002 12:00:00 AM,5/30/2004 12:00:00 AM,7/30/2005 12:00:00 AM,Construction Project On Schedule-Working to complete railing installation and punch list.,399950.448640,129595.981750,38.83415498682950,-77.00057071084520,,4th Street Bridge Over Oxon Run ,Rod Rohadfor ,4985,,,
Fessenden St,NW,Linnean Ave,Linnean Ave,0,Pavement Resurface/restoration,2005,100,Completed,0,,,7/18/2005 12:00:00 AM,,7/30/2005 12:00:00 AM,,394497.139990,142931.350020,38.95426763048770,-77.063486333759,N/A,Citywide Pavement Restoration,Paul Stephenson,8933,Rodney Olive,N/A,202-671-4591
H St,NE,17th St,24th St,5,Street Light Projects,2005,100,Completed,0.36,5,LOCAL,,,6/30/2005 12:00:00 AM,Fixture Upgrade,402105.474240,136927.239450,38.90019543780560,-76.97572762016080,,,,9114,,,
Bennett Pl,NE,19th St,21st St,1,Street Light Projects,2005,100,Completed,0.11,5,LOCAL,,,6/30/2005 12:00:00 AM,Fixture Upgrade,402151.720190,136849.1910,38.89949223741190,-76.97519473097660,,,,9115,,,
G St,NE,21st St,24th St,1,Street Light Projects,2005,100,Completed,0.10,5,LOCAL,,,6/30/2005 12:00:00 AM,Fixture Upgrade,402318.401120,136785.900570,38.89892167067260,-76.97327342844370,,,,9116,,,
Holbrook Ter,NE,West Virginia Ave,Montello Ave,2,Street Light Projects,2005,100,Completed,0.09,5,LOCAL,,,6/30/2005 12:00:00 AM,Fixture Upgrade,401081.304290,137786.7256,38.90793984786110,-76.98753312797340,,,,9117,,,
26th St,NE,Benning Rd,I St,1,Street Light Projects,2005,100,Completed,0.39,5,LOCAL,,,6/30/2005 12:00:00 AM,Fixture Upgrade,402582.322020,136977.1976,38.90064420718840,-76.97023022441270,,,,9096,,,
Queen St,NE,West Virginia Ave,Montello Ave,1,Street Light Projects,2005,100,Completed,0.10,5,LOCAL,,,6/30/2005 12:00:00 AM,Fixture Upgrade,401040.658940,137728.572290,38.90741603179170,-76.98800183568310,,,,9118,,,
Penn St,NE,West Virginia Ave,Montello Ave,1,Street Light Projects,2005,100,Completed,0.11,5,LOCAL,,,6/30/2005 12:00:00 AM,Fixture Upgrade,401000.199610,137671.161760,38.90689890480080,-76.98846839074530,,,,9119,,,
Owen Pl,NE,West Virginia Ave,Montello Ave,1,Street Light Projects,2005,100,Completed,0.12,5,LOCAL,,,6/30/2005 12:00:00 AM,,400962.301150,137617.190880,38.90641275866270,-76.98890540937850,,,,9120,,,
Oates St,NE,West Virginia Ave,Montello Ave,1,Street Light Projects,2005,100,Completed,0.13,5,LOCAL,,,6/30/2005 12:00:00 AM,Fixture Upgrade,400924.557730,137563.0239,38.90592484414690,-76.98934063483910,,,,9121,,,
Neal St,NE,West Virginia Ave,Montello Ave,1,Street Light Projects,2005,100,Completed,0.15,5,LOCAL,,,6/30/2005 12:00:00 AM,Fixture Upgrade,400857.222050,137467.922780,38.90506820826890,-76.990117076718,,,,9122,,,
Morse St,NE,West Virginia Ave,Montello Ave,1,Street Light Projects,2005,100,Completed,0.16,5,LOCAL,,,6/30/2005 12:00:00 AM,Fixture Upgrade,400789.991580,137372.0807,38.90420489217570,-76.99089228784710,,,,9123,,,
31st St,NW,Military Rd,Nebraska Ave,2,Regular Cover,2004,100,Completed,0.22,4,LOCAL,3/31/2004 12:00:00 AM,,6/30/2005 12:00:00 AM,2 Year CIP 2001 - 2003,394569.757690,143845.465670,38.96250267153790,-77.06265578408190,,,,2477,,,
Elvans Rd,SE,Stanton Rd,Cul De Sac,2,Upgrading,2001,100,Completed,0.28,8,LOCAL,8/2/2004 12:00:00 AM,7/15/2005 12:00:00 AM,6/30/2005 12:00:00 AM,Construction completed July 15  2005.,400997.534810,131819.773780,38.85418732902890,-76.98850760695460,Close out in progress,UPGRADING OF ELVANS ROAD  SE,Samuel Olatunji,2655,Shakeri Ali  PE,ali.shakeri@dc.gov,202-671-4637
31st St,NW,Woodland Dr,Cleveland Ave (E),1,Upgrading,2004,100,Completed,0.09,3,LOCAL,3/31/2004 12:00:00 AM,,6/30/2005 12:00:00 AM,2 Year CIP 2001 - 2003,394689.066580,139699.553630,38.92515585246760,-77.06124706776830,N/A,Citywide Pavement Restoration,Paul Stephenson ,2592,,N/A,202-671-4591
Worthington St,NW,31st St,32nd St (S),3,Pavement Resurface/restoration,2005,100,Completed,0.14,4,LOCAL,6/14/2005 12:00:00 AM,6/30/2005 12:00:00 AM,6/30/2005 12:00:00 AM,,395011.018330,145350.526340,38.97606323405480,-77.05757533886330,N/A,Citywide Pavement Restoration,Paul Stephenson,8519,Deguzman and Rodney,N/A,202-671-4591
New Jersey Ave,NW,Louisiana Ave,E St,2,Pavement Resurface/restoration,2004,100,Completed,0.17,6,COLLECTOR,4/4/2005 12:00:00 AM,7/5/2005 12:00:00 AM,7/4/2005 12:00:00 AM,,399042.534270,136354.481180,38.89503782391070,-77.01103708183730,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,4369,Said Cherifi,said.cherifi@dc.gov,202-671-4611
30th St,NW,Ordway St,Porter St,1,Pavement Resurface/restoration,2004,100,Completed,0.10,3,LOCAL,3/31/2004 12:00:00 AM,6/29/2005 12:00:00 AM,6/29/2005 12:00:00 AM,,394704.727030,140957.551580,38.93648837670370,-77.06107617365140,WASA FY-06 LSR,Citywide Pavement Restoraction,Paul Stephenson,3940,M. Howard,N/A,202-671-4591
Gallaudet St,NE,Corcoran St,Kendall St,1,Pavement Resurface/restoration,2004,100,Completed,0.02,5,LOCAL,,,6/29/2005 12:00:00 AM,PROJECT IS ON HOLD DUE TO CONCRETE ISSUES,401114.064610,138343.5192,38.91295559376660,-76.98715451533710,,,,5558,,,
Newark St,NW,Macarthur Blvd,Potomac Ave,2,Regular Cover,2003,100,Completed,0.13,3,LOCAL,4/10/2005 12:00:00 AM,,6/30/2005 12:00:00 AM,Sherier Pl to Potomac St was orginally proposed for FY-04 SP,390311.168690,140696.039810,38.93409513690830,-77.11174815496940,,,,5097,,,
48th Pl,NE,Eads St,Foote St,2,Pavement Resurface/restoration,2004,100,Completed,0.18,7,LOCAL,4/4/2005 12:00:00 AM,,6/30/2005 12:00:00 AM,,405719.671810,136489.517210,38.89623619205080,-76.93406599352810,,CIP_2004-2009,,4849,,,
1st St,NW,I St,M St,3,Pavement Resurface/restoration,2004,100,Completed,0.30,6,COLLECTOR,7/1/2005 12:00:00 AM,,6/30/2005 12:00:00 AM,,398944.866780,137291.902620,38.90348234151040,-77.01216437309360,,CIP_2004-2009,Mohamed Abdullahi,4853,Said Cherifi,said.cherifi@dc.gov,202-671-4611
10th St,NE,Franklin St,Michigan Ave (S),11,Street Light Projects,2005,100,Completed,0.67,5,LOCAL,,,6/30/2005 12:00:00 AM,,400653.680320,140284.140130,38.93043779642890,-76.99246103039470,,,,9086,,,
Woodland Dr,NW,30th St,31st St,1,Pavement Resurface/restoration,2005,100,Completed,0.11,3,LOCAL,4/4/2005 12:00:00 AM,6/30/2005 12:00:00 AM,6/30/2005 12:00:00 AM,,394722.879420,139619.888960,38.92443841168610,-77.06085651695390,Per Team 2,Citywide Pavement Restoration,Paul Stephenson,7524,,N/A,
17th St,NE,Benning Rd,M St,8,Street Light Projects,2005,100,Completed,0.43,5,MINOR ARTERIAL,,,6/30/2005 12:00:00 AM,Fixture Upgrade,401822.190020,137185.214210,38.90251999916680,-76.97899269976390,,,,9104,,,
Lyman Pl,NE,Bladensburg Rd,19th St,2,Street Light Projects,2005,100,Completed,0.22,5,LOCAL,,,6/30/2005 12:00:00 AM,Fixture Upgrade,401890.158530,137457.425150,38.90497202764490,-76.97820836888730,,,,9106,,,
Lang Pl,NE,Bladensburg Rd,19th St  Summit St,2,Street Light Projects,2005,100,Completed,0.24,5,LOCAL,,,6/30/2005 12:00:00 AM,Fixture Upgrade,401873.369250,137390.539810,38.90436953699240,-76.97840211486960,,,,9108,,,
L St,NE,Bladensburg Rd,19th St,4,Street Light Projects,2005,100,Completed,0.26,5,LOCAL,,,6/30/2005 12:00:00 AM,Fixture Upgrade,401854.017180,137317.869530,38.90371493858570,-76.97862541909170,,,,9109,,,
K St,NE,17th Pl,Maryland Ave,3,Street Light Projects,2005,100,Completed,0.14,5,LOCAL,,,6/30/2005 12:00:00 AM,Fixture Upgrade,401838.860480,137183.851840,38.90250769173940,-76.97880051634960,,,,9110,,,
Maryland Ave,NE,17th St,M St,7,Street Light Projects,2005,100,Completed,0.54,5,COLLECTOR,,,6/30/2005 12:00:00 AM,Fixture Upgrade,402205.850050,137319.3983,38.90372789776920,-76.97456920592810,,,,9111,,,
I St,NE,17th St,26th St,6,Street Light Projects,2005,100,Completed,0.53,5,LOCAL,,,6/30/2005 12:00:00 AM,Fixture Upgrade,402186.611420,137187.471130,38.90253949931390,-76.97479142414830,,,,9112,,,
H Pl,NE,18th St,19th St,1,Street Light Projects,2005,100,Completed,0.07,5,LOCAL,,,6/30/2005 12:00:00 AM,Fixture Upgrade,402007.395330,137002.102430,38.90087005972610,-76.97685807702740,,,,9113,,,
Adams St,NE,Cul De Sac,30th Pl,1,Pavement Resurface/restoration,2004,100,Completed,0.03,5,LOCAL,6/6/2005 12:00:00 AM,,5/19/2005 12:00:00 AM,,402889.199330,139235.448160,38.920986341431,-76.96668295048870,,,,5520,,,
Adams St,NE,30th St,31st St,1,Pavement Resurface/restoration,2004,100,Completed,0.13,5,LOCAL,,,5/19/2005 12:00:00 AM,,403041.2385,139269.589180,38.92129338175540,-76.96492954669870,,,,5521,,,
Woodley Rd,NW,Cathedral Ave (E),29th St,5,Reconstruction,1999,100,Completed,0.42,1,LOCAL,3/31/2004 12:00:00 AM,,5/19/2005 12:00:00 AM,2 Year CIP 2001 - 2003,395326.762650,139758.427970,38.92568983381180,-77.05389339321580,,,,2488,,,
35th St,SE,East Capitol St,A St,1,Bridge Construction,2002,100,Completed,0.07,7,LOCAL,,7/27/2004 12:00:00 AM,1/1/2005 12:00:00 AM,,403811.173830,135716.458360,38.88928253839380,-76.95607065148230,Bridge over East Capitol St,,,5094,,,
A St,SE,49th St,53rd St,3,Upgrading,1999,100,Completed,0.39,7,LOCAL,3/31/2004 12:00:00 AM,10/7/2004 12:00:00 AM,1/10/2005 12:00:00 AM,2 Year CIP 2001 - 2003 Ongoing Activities: PCC Coping Wall PreparationOngoing activities:  Pipe work and manhole installation complete. Ongoing asphalt surface work.  Estimate percent complete:  90%,406163.117160,135561.393180,38.88787231174050,-76.92896246689080,,Local Street Upgr-W7,Sylvester Okpala,2565,,,
F St,SE,33rd St,Minnesota Ave,1,Upgrading,1999,100,Completed,0.07,7,LOCAL,3/31/2004 12:00:00 AM,8/1/2004 12:00:00 AM,1/14/2005 12:00:00 AM,released sept. 18  2003. drainage design under review due to possible utility conflicts. preparing sand filter option for drainage. will meet with nps and dcra to discuss plans.,403537.567680,134907.3303,38.88199474849760,-76.95922852717750,FY-04 per Sylvester,Local Street Upgr-W7,Sylvester Okpala,2660,,,
10th St,NW,Massachusetts Ave,M St,2,Federal Aid Resurfacing,2000,100,Completed,0.15,2,COLLECTOR,,5/6/2003 12:00:00 AM,1/17/2005 12:00:00 AM,2 Year CIP 2000 - 2002,397746.077340,137417.482370,38.904611351580,-77.02598533521130,,FY 2000 3rd F.A. Resurfacing,,2696,,,
O St,NW,Service Road,1st St,1,Street Light Projects,2004,100,Completed,0.16,5,LOCAL,,,1/31/2005 12:00:00 AM,Fixture Upgrade,399074.103290,137856.304320,38.90856681442320,-77.01067519786590,,,,9124,,,
P St,NW,North Capitol St,3rd St,2,Street Light Projects,2004,100,Completed,0.33,5,LOCAL,,,1/31/2005 12:00:00 AM,Fixture Upgrade,398948.995040,137975.449180,38.90963997156170,-77.01211782545940,,,,9125,,,
Q St,NW,Florida Ave (E),3rd St,2,Street Light Projects,2004,100,Completed,0.29,5,MINOR ARTERIAL,,,1/31/2005 12:00:00 AM,Fixture Upgrade,398915.860280,138139.811740,38.91112056538260,-77.01250012047620,,,,9126,,,
36th St,NW,Macomb St,Porter St,4,Reconstruction,2004,100,Completed,0.26,3,LOCAL,,,2/8/2005 12:00:00 AM,2 Year CIP 2001 - 2003,393854.1333,140838.3441,38.935408982204,-77.07088592995540,,,,2489,,,
Meigs Pl,NE,Trinidad Ave,Cul De Sac,1,Pavement Resurface/restoration,2004,100,Completed,0.03,5,LOCAL,8/4/2005 12:00:00 AM,,5/17/2005 12:00:00 AM,,401451.770180,137687.005850,38.90704100400290,-76.98326206121520,,,,5595,,,
Chillum Pl,NE,11th St,Jefferson St (W),1,Pavement Resurface/restoration,2005,100,Completed,0.36,5,LOCAL,7/1/2007 12:00:00 AM,,5/17/2005 12:00:00 AM,,400450.739070,143061.916450,38.95546092903160,-76.99479974999180,,,,4560,,,
Galloway St,NE,Sargent Rd,Eastern Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.15,5,LOCAL,,,5/17/2005 12:00:00 AM,,401118.915490,142775.809120,38.952883000808,-76.98709135671970,,,,5559,,,
Chillum Pl,NE,Jefferson St (W),Kennedy St,1,Pavement Resurface/restoration,2004,100,Completed,0.05,5,LOCAL,,,5/18/2005 12:00:00 AM,,400152.539420,143182.849540,38.95655042861240,-76.99824010098630,,,,5528,,,
Upshur St,NE,19th St,19th Pl,1,Pavement Resurface/restoration,2004,100,Completed,0.06,5,LOCAL,,,5/18/2005 12:00:00 AM,,401924.955140,141544.502240,38.94178964865940,-76.97779573785240,,,,5610,,,
Holbrook St,NE,Meigs Pl,Raum St,1,Pavement Resurface/restoration,2004,100,Completed,0.07,5,LOCAL,,,5/18/2005 12:00:00 AM,,401618.231580,137619.431070,38.90643197620610,-76.98134303193040,,,,5569,,,
Logan Cir,NW,Vermont Ave (S),13th St (S),1,Pavement Resurface/restoration,2004,100,Completed,0.02,2,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,5/19/2005 12:00:00 AM,,397413.857980,137917.1671,38.90911177027130,-77.02981735309780,POKA-2004-B-0016-JJ,Fedeeral Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,5228,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
19th St,NW,H St (N),L St,3,Federal Aid Resurfacing,2004,100,Completed,0.17,2,MINOR ARTERIAL,3/31/2004 12:00:00 AM,,5/13/2005 12:00:00 AM,2 Year CIP 2000 - 2002,396230.331960,137125.234530,38.90197348651050,-77.04345866403290,99-0225-AA-2-0-KA,FY-99 1st Federal Aid Resurfacing Contract,Maduabuchi Udeh,2321,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Lyman Pl,NE,Bladensburg Rd,17th St,1,Pavement Resurface/restoration,2004,100,Completed,0.07,5,LOCAL,5/9/2005 12:00:00 AM,,5/13/2005 12:00:00 AM,,401769.832540,137457.237020,38.90497058341690,-76.97959560724410,,,,5593,,,
Lyman Pl,NE,17th St,19th St,1,Pavement Resurface/restoration,2004,100,Completed,0.15,5,LOCAL,5/9/2005 12:00:00 AM,,5/13/2005 12:00:00 AM,,401942.765250,137457.330780,38.90497106282730,-76.97760186648650,,,,5594,,,
K St,NE,17th Pl,18th St,2,Pavement Resurface/restoration,2004,100,Completed,0.11,5,LOCAL,5/9/2005 12:00:00 AM,,5/16/2005 12:00:00 AM,,401815.852670,137183.571230,38.90250521173550,-76.97906576487940,,CIP_2004-2009,,4425,,,
Holbrook St,NE,Childress St,Meigs Pl,1,Pavement Resurface/restoration,2004,100,Completed,0.03,5,LOCAL,5/10/2005 12:00:00 AM,,5/16/2005 12:00:00 AM,,401583.249410,137549.430110,38.90580144688110,-76.98174651086390,,,,5568,,,
Fairview Ave,NE,Okie St,New York Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.05,5,LOCAL,,,5/19/2005 12:00:00 AM,,400962.949370,138448.4687,38.91390119273730,-76.98889677022050,,,,5549,,,
Pennsylvania Ave,NW,15th St (N),17th St,3,Reconstruction,2003,100,Completed,0.31,2,LOCAL,3/31/2004 12:00:00 AM,,5/20/2005 12:00:00 AM,,396829.400280,136766.999320,38.89874874076110,-77.03655064483610,,,,5102,,,
L St,NW,4th St,5th St (S),1,Pavement Resurface/restoration,2004,100,Completed,0.16,6,LOCAL,,,5/20/2005 12:00:00 AM,,398477.746650,137319.932960,38.90373416385140,-77.01754974895390,1st Aid to State ,,,3512,,,
Randolph St,NE,17th St,17th Pl,1,Pavement Resurface/restoration,2004,100,Completed,0.04,5,LOCAL,,,5/20/2005 12:00:00 AM,,401629.171970,141157.623650,38.93830513186150,-76.98120850057520,,,,5606,,,
